name,title,status,logo
Aparna Bawa,COO of Zoom,TRUE,TRUE
N.R. Narayana Murthy,Founder,"Chairman & Former CEO, Infosys - Board Member, UN Foundation",TRUE,TRUE
Kevin Sneader,"CEO & Global Managing Partner, McKinsey & Company",TRUE,TRUE
Tim Draper,"Renowned Venture Capitalist Billionaire Investor in Tesla, SpaceX, Twitter, Robinhood, Baidu, Skype & others",TRUE,FALSE
The Honorable Ban Ki-Moon,"Secretary General, United Nations & Former Foreign Minister", Republic of Korea,TRUE,TRUE
Adam D'Angelo,Former CTO of Facebook CEO & Co-Founder of Quora Board Member of Instagram & OpenAI,TRUE,TRUE
Justin Kan,Co-Founder of Twitch Former Partner at Y Combinator,TRUE,TRUE
Joseph Lubin,"Founder, ConsenSys Co-Founder, Ethereum",TRUE,TRUE
